source_control_id,target_requirement_id,relationship_ref,relationship_gen,requirement_title
ac-1,03.15.01,subset-of,subset-of,Policy and Procedures
ac-11,03.01.10,subset-of,equivalent-to,Device Lock
ac-11.1,03.01.10,subset-of,equivalent-to,Device Lock
ac-12,03.01.11,subset-of,equivalent-to,Session Termination
ac-17,03.01.12,subset-of,equivalent-to,Remote Access
ac-17.2,03.13.08,subset-of,intersects-with,Transmission and Storage Confidentiality
ac-17.3,03.01.12,subset-of,equivalent-to,Remote Access
ac-17.4,03.01.12,subset-of,equivalent-to,Remote Access
ac-18,03.01.16,subset-of,equivalent-to,Wireless Access
ac-18.1,03.01.16,subset-of,equivalent-to,Wireless Access
ac-18.3,03.01.16,subset-of,equivalent-to,Wireless Access
ac-19,03.01.18,subset-of,equivalent-to,Access Control for Mobile Devices
ac-2.13,03.01.01,subset-of,subset-of,Account Management
ac-2.3,03.01.01,subset-of,subset-of,Account Management
ac-20,03.01.20,subset-of,equivalent-to,Use of External Systems
ac-20.1,03.01.20,subset-of,equivalent-to,Use of External Systems
ac-20.2,03.01.20,subset-of,equivalent-to,Use of External Systems
ac-22,03.01.22,subset-of,equivalent-to,Publicly Accessible Content
ac-3,03.01.02,subset-of,equivalent-to,Access Enforcement
ac-4,03.01.03,subset-of,equivalent-to,Information Flow Enforcement
ac-5,03.01.04,subset-of,equivalent-to,Separation of Duties
ac-6,03.01.05,subset-of,equivalent-to,Least Privilege
ac-6.1,03.01.05,subset-of,subset-of,Least Privilege
ac-6.10,03.01.07,subset-of,equivalent-to,Least Privilege – Privileged Functions
ac-6.2,03.01.06,subset-of,equivalent-to,Least Privilege – Privileged Accounts
ac-6.5,03.01.06,subset-of,equivalent-to,Least Privilege – Privileged Accounts
ac-6.7,03.01.05,subset-of,subset-of,Least Privilege
ac-6.9,03.01.07,subset-of,equivalent-to,Least Privilege – Privileged Functions
ac-7,03.01.08,subset-of,equivalent-to,Unsuccessful Logon Attempts
ac-8,03.01.09,subset-of,superset-of,System Use Notification
at-2,03.02.01,subset-of,equivalent-to,Literacy Training and Awareness
at-2.2,03.02.01,subset-of,subset-of,Literacy Training and Awareness
at-2.3,03.02.01,subset-of,subset-of,Literacy Training and Awareness
at-3,03.02.02,subset-of,equivalent-to,Role-Based Training
au-1,03.15.01,subset-of,subset-of,Policy and Procedures
au-11,03.03.03,subset-of,equivalent-to,Audit Record Generation
au-12,03.03.03,subset-of,equivalent-to,Audit Record Generation
au-2,03.03.01,subset-of,equivalent-to,Event Logging
au-3,03.03.02,subset-of,equivalent-to,Audit Record Content
au-3.1,03.03.02,subset-of,intersects-with,Audit Record Content
au-5,03.03.04,subset-of,equivalent-to,Response to Audit Logging Process Failures
au-6,03.03.05,subset-of,equivalent-to,"Audit Record Review, Analysis, and Reporting"
au-6.3,03.03.05,subset-of,equivalent-to,"Audit Record Review, Analysis, and Reporting"
au-7,03.03.06,subset-of,equivalent-to,Audit Record Reduction and Report Generation
au-8,03.03.07,subset-of,equivalent-to,Time Stamps
au-9,03.03.08,subset-of,equivalent-to,Protection of Audit Information
au-9.4,03.03.08,subset-of,equivalent-to,Protection of Audit Information
ca-1,03.15.01,subset-of,subset-of,Policy and Procedures
ca-2,03.12.01,subset-of,equivalent-to,Control Assessments
